待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
honda crv rack and pinion,SP-KW-MIXS-王云-转向器-KC4PSP15900,508698268817487,B0F6LRP4ZW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2017 jeep patriot sport 2.4 engine rack and pinion,SP-AUTO-MIXS-王云-转向器-KX4SGE09700,509416468570480,B0DPCXSHJ8,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2004 acura tsx rack and pinion,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 acura tsx rack and pinion,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 acura tsx rack and pinion,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 acura tsx rack and pinion,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
power steering rack and pinion acura 2004 tsx,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
power steering rack pinion for acura 2004 tsx,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900,516321833791923,B0DPCWXT64,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 toyota camry rack and pinion,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,520517159687618,B0GQZFFJLK,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 lexus es350 rack and pinion,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,520517159687618,B0GQZFFJLK,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 lexus es350 rack and pinion delco,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,520517159687618,B0GQZFFJLK,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 lexus es350 rack and pinion,SP-KW-MIXS-王云-转向器王云-KC4SGE01800,520517159687618,B0H6WDHXH5,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 nissan altima 2.5 rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE12900,523641136226609,B0FCXVNLJ6,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2010 ford f150 single cab long bed 2wd 4.6l steering rack,SP-KW-MIXS-王云-转向器-KX4SGE08100,525385083960750,B0DPCX4KJV,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford f150 rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE08100,525385083960750,B0DPCX4KJV,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 toyota prius rim 15 rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE19400,526083272319115,B0F6LJ6TSH,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 toyota rav4 steering rack,SP-KW-MIXS-王云-转向器-PT4SGE18500,529005462384968,B0GR2TR2DP,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 acura mdx rack and pinion,SP-KW-MIXS-王云-转向器-KC4SGE03200,532938447458537,B0GR2RVVV3,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 acura mdx steering rack,SP-KW-MIXS-王云-转向器-KC4SGE03200,532938447458537,B0GR2RVVV3,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion hyundai elantra 2008,SP-KW-MIXS-王云-转向器-PT4SGE21100,534000652392994,B0F673XCCG,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2001 lexus rx300 steering rack,SP-KW-MIXS-王云-转向器-KX4SGE16500,534587547932822,B0DPZS1LTK,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2009 ford flex power steering rack,SP-KW-MIXS-王云-转向器-KX4SGE11100,535719948259660,B0DSPSL9SX,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2010 ford flex rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE11100,535719948259660,B0DSPSL9SX,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 ford taurus x rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE11100,535719948259660,B0GR4QK87D,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion for 2003 lexus rx 300,SP-AUTO-MIXS-王云-转向器-KX4SGE16500,537249647343945,B0DPCX66CY,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 ford f150 4x4 steering rack,SP-AUTO-MIXS-王云-转向器-KC4SGE05100,537848717797431,B0F9P56J5K,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion steering assembly 2000 ford mustang,SP-AUTO-MIXS-王云-转向器-KC4SGE05400,542890146622068,B0F9P3N6DH,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
ford mustang 2002 rack and pinion,SP-AUTO-MIXS-王云-转向器-KC4SGE05400,542890146622068,B0GR4KDGGX,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2011 ford f150 rack and pinion,SP-KW-BR-王云-转向器-B0F9P2QX6Z-KX4SGE13500,543696485885271,B0F9P2QX6Z,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2013 ford f series trucks rack and pinion,SP-KW-BR-王云-转向器-B0F9P2QX6Z-KX4SGE13500,543696485885271,B0F9P2QX6Z,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2014 ford f150 rack and pinion,SP-KW-BR-王云-转向器-B0F9P2QX6Z-KX4SGE13500,543696485885271,B0F9P2QX6Z,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1998 toyota 4runner rack and pinion,SP-KW-MIXS-王云-转向器-B0DPCXYMH5,543861515199004,B0DPCXYMH5,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2000 toyota 4runner rack and pinion seal,SP-KW-MIXS-王云-转向器-B0DPCXYMH5,543861515199004,B0DPCXYMH5,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 honda odyssey power steering rack,SP-KW-MIXS-王云-转向器-KX4SGE10900,544581359831705,B0F672VQYZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack honda odyssey 2010,SP-KW-MIXS-王云-转向器-KX4SGE10900,544581359831705,B0F672VQYZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2009 honda odyssey steering rack,SP-KW-MIXS-王云-转向器-KX4SGE10900,544581359831705,B0G7HT21MV,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota sienna 2001 hydraulic steering rack,SP-KW-MIXS-王云-转向器-KX4SGE17100,546400871758991,B0DWJXRXNM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2002 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE17100,546400871758991,B0GR4TZZVL,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-KX4SGE17100,546400871758991,B0GR4TZZVL,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion for a 2002 toyota sienna,SP-KW-MIXS-王云-转向器-KX4SGE17100,546400871758991,B0GR4TZZVL,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion steering assembly nissan maxima 2009 2014,SP-KW-BR-王云-转向器-B0F6734V72-KX4SGE12700,549601474247645,B0F6734V72,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota sienna 2020,SP-KW-MIXS-王云-转向器-PT4SGE19200,558882070291307,B0GR4C16WD,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
"steering rack and pinion for toyota 11-15 sienna, steering rack and pinion assembly 2011 2012 2013 2014 2015 replacement",SP-KW-MIXS-王云-转向器-PT4SGE19200,558882070291307,B0GR4C16WD,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2018 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE19200,558882070291307,B0GR4S6CNN,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2010 nissan versa hatchback sl rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE25800,561154060259783,B0DWMVNZQQ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
nissan versa hatchback 2010 steering rack,SP-KW-MIXS-王云-转向器-PT4SGE25800,561154060259783,B0DWMVNZQQ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion for 2009 nissan versa,SP-KW-MIXS-王云-转向器-PT4SGE25800,561154060259783,B0GR317V49,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2010 nissan versa hatchback sl rack and pinion,SP-KW-MIXS-王云-转向器-PT4SGE25800,561154060259783,B0GR4TXN5L,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2012 mitsubishi lancer steering rack,SP-KW-BR-王云-转向器-B0DPCWN73Z-KX4SGE17700,562385525546795,B0DPCWN73Z,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
